(rows, cols)|grid_string
(2, 3)|##--##
(2, 3)|-#-###
(2, 3)|###--#
(2, 3)|-#-#-#
(4, 3)|#-#-#--#----
(4, 3)|-########-#-
(4, 3)|--##-###-##-
(4, 3)|-#---##-----
(4, 3)|------#-###-
(5, 3)|-----#--#--###-
(5, 3)|##---------##--
(5, 3)|------####--#-#
(5, 3)|-#--##----##-##
(5, 3)|---#--###----#-
(5, 3)|#---##-##-#####
(5, 3)|-#-----#-#---##
(5, 3)|####--#-#--#--#
(5, 3)|--####-########
(5, 3)|####-##-##---##
(2, 3)|-##---
(2, 3)|######
(2, 3)|-#--##
(5, 5)|#-##--#--#---###--##---##
(5, 5)|-#-#---#---##--#----##--#
(5, 5)|##-##---#-----#-#-###-##-
(5, 5)|#-##-##-#-###-###--#-----
(5, 5)|--##-----#######--#-##-##
(6, 3)|--#-#-##-----#-###
(6, 3)|-#-##-#--#-##----#
